# https://fr.wikipedia.org/wiki/Point_d%27indice_salarial_en_France

Date, Point d'indice
01/07/2005, 53.2847 
01/07/2006, 53.9795
01/02/2007, 54.4113
01/03/2008, 54.6834
01/10/2008, 54.8475
01/07/2009, 55.1217
01/10/2009, 55.2871
01/07/2010, 55.5635
01/07/2016, 55.8969
01/02/2017, 56.2323
